id,created_at,text
967802583086764033,2018-02-25 16:44:51,ناشطون سوريون: 26 قتيلا حصيلة غارات النظام على #الغوطة_الشرقية اليوم #العربية_عاجل
967735715210637313,2018-02-25 12:19:08,المرصد السوري: اشتباكات عنيفة بين قوات النظام وفصائل المعارضة على أطراف الغوطة #العربية_عاجل
967719969097121793,2018-02-25 11:16:34,القضاء العراقي يحكم بإعدام 15 امرأة تركية بتهمة الانتماء لداعش #العربية_عاجل
967711192117645314,2018-02-25 10:41:42,حركة فتح: القرارات الإسرائيلية تستهدف الوجود المسيحي في الأراضي المقدسة #العربية_عاجل
967710479538966528,2018-02-25 10:38:52,إغلاق كنيسة القيامة في القدس احتجاجا على الضرائب التي فرضتها إسرائيل #العربية_عاجل
967694669386838016,2018-02-25 09:36:02,الداخلية الفرنسية تعلن إحباط مخططين إرهابيين خلال الشهرين الماضيين #العربية_عاجل
967659929761931264,2018-02-25 07:18:00,المرصد السوري: غارات جديدة لطيران النظام على #الغوطة_الشرقية #العربية_عاجل
967520567141203973,2018-02-24 22:04:13,المرصد السوري: 10 غارات استهدفت بلدة في الغوطة الشرقية بعد إقرار هدنة سوريا #العربية_عاجل
967507003567419393,2018-02-24 21:10:19,الفصيلان الرئيسيان المعارضان في الغوطة يرحبان بإقرار مجلس الأمن هدنة سوريا #العربية_عاجل
967505093137444864,2018-02-24 21:02:44,مراسل العربية: قوات عراقية تحاول صد هجوم لداعش على حقل نفطي جنوب كركوك #العربية_عاجل
967497113822212096,2018-02-24 20:31:01,الجعفري يتهم بريطانيا وفرنسا وأميركا بالتخطيط لتقسيم سوريا #العربية_عاجل
967496840861159425,2018-02-24 20:29:56,الجعفري: يجب وقف تدفق المقاتلين من دول المجاورة إلى سوريا #العربية_عاجل
967496232158580741,2018-02-24 20:27:31,قصف جوي على دوما والشيفونية في الغوطة بعد دقائق من قرار مجلس الأمن #العربية_عاجل
967495059141746688,2018-02-24 20:22:51,الجعفري: الجماعات المسلحة لم تلتزم بمبادرات التهدئة في سوريا #العربية_عاجل
967494888311939072,2018-02-24 20:22:11,الجعفري: التزمنا باتفاق أستانا المتعلق بمناطق خفض التصعيد #العربية_عاجل
967494741356171264,2018-02-24 20:21:36,الجعفري: تعاملنا بجدية مع كافة مبادرات التهدئة في سوريا #العربية_عاجل
967494342544896000,2018-02-24 20:20:01,الجعفري: مجلس الأمن اتخذ 29 قرارا بشأن سوريا #العربية_عاجل
967493985492258820,2018-02-24 20:18:35,الجعفري: دمشق تعاني من أوضاع صعبة جراء إرهاب الغوطة #العربية_عاجل
967493544641429507,2018-02-24 20:16:50,كلمة بشار الجعفري مندوب النظام السوري في مجلس الأمن #العربية_عاجل
967491864873054214,2018-02-24 20:10:10,مندوب روسيا: قلقون من التهديدات الأميركية تجاه النظام في سوريا #العربية_عاجل
967491035625676806,2018-02-24 20:06:52,قصف جوي على بلدة الشيفونية في الغوطة بعد دقائق من قرار مجلس الأمن #العربية_عاجل
967487729264156672,2018-02-24 19:53:44,مندوب الصين: الحل السياسي هو الطريق الوحيد لإنهاء الصراع في سوريا #العربية_عاجل
